Year,ISO_Code,Countries,Government consumption,Transfers and subsidies,Judicial independence,Protection of property rights,Standard deviation of inflation,Inflation: Most recent year,Non-tariff trade barriers,Capital controls,Credit market regulations,Hiring regulations and minimum wage,Business regulations
2023,AGO,Angola,8.91,9.7,3.81,3.39,6.17,4.54,3.6,1.54,8.33,3.63,4.68
2023,ALB,Albania,7.16,7.44,4.62,4.42,8.27,8.1,8.4,4.62,9.45,5.88,5.53
2023,ARE,United Arab Emirates,5.45,8.65,5.71,7.63,5.89,9.35,7.31,5.38,6.48,3.97,7.47
2023,ARG,Argentina,5.81,5.77,4.99,4.79,0,0,4.23,0,7.38,4.37,4.85
2023,ARM,Armenia,6.14,7.84,4.58,5.45,8.8,9.21,4.09,5.38,9.67,3.87,5.57
2023,AUS,Australia,2.91,6.31,8.43,9.22,9.06,7.76,7.78,4.62,9.81,6.3,7.24
2023,AUT,Austria,3.31,3.09,7.98,9.31,9.1,6.88,7.08,3.08,9.08,2.6,6.76
2023,AZE,Azerbaijan,5.54,8.08,4,4.65,1.91,6.48,5.82,4.62,8.33,1.2,5.81
2023,BDI,Burundi,3.27,9.97,3.56,3.71,7.49,0,4.77,1.54,6.12,8.07,4.21
2023,BEL,Belgium,2.18,1.82,7.6,8.93,9.22,8.38,7.82,3.85,8.98,4.43,6.73
2023,BEN,Benin,7.68,9.77,5.21,4.08,9.01,8.91,3.82,0.77,9.09,5.73,5.4
2023,BFA,Burkina Faso,4.58,8.63,4.97,4.54,8.57,9.7,6.47,0.77,7.99,5.19,5.14
2023,BGD,Bangladesh,9.24,9.23,2.96,4.21,9.53,6.05,5.32,0,8.06,2.63,3.01
2023,BGR,Bulgaria,4.58,5.07,5.76,5.39,8.11,6.22,6.46,4.62,9.36,4.07,5.1
2023,BHR,Bahrain,3.03,9.43,5.38,7.67,7.3,9.97,7.16,6.15,8.75,6.01,6.7
2023,BHS,"Bahamas, The",6.44,8.81,6.07,4,7.19,8.78,0,0.77,9.21,7.53,6.32
2023,BIH,Bosnia and Herzegovina,5.24,5.28,3.97,4.36,8.24,7.56,4.34,3.08,9.85,4.65,3.85
2023,BLR,Belarus,4.24,5.73,3.82,0,8.92,8,2.5,0.77,7,2.33,2.82
2023,BLZ,Belize,5.62,8.43,4.49,4.87,8.18,8.24,4.45,0,9.45,5.73,5.36
2023,BOL,Bolivia,5.22,8.84,3.47,2.99,8.75,8.97,4.98,4.62,6.65,2.97,2.59
2023,BRA,Brazil,4.19,5.65,5.89,6.19,8.8,8.16,4.52,3.85,5.18,3.67,3.88
2023,BRB,Barbados,7.77,6.65,7.35,6.68,9.67,6.08,5.78,0,6.41,6.29,5.75
2023,BRN,Brunei Darussalam,0,,5.63,5.27,3.4,9.86,6.3,6.15,6.43,8.07,7.27
2023,BTN,Bhutan,4.02,9.46,6.27,5.77,9.31,8.31,5.18,0,7.59,6.84,5.64
2023,BWA,Botswana,0,8.28,6.73,5.76,7.76,7.97,3.06,6.15,9.33,5.2,5.27
2023,CAF,Central African Republic,9.38,9.58,4.35,1.52,9.38,8.81,2.5,1.54,7.11,0.67,1.7
2023,CAN,Canada,3.39,6.9,7.96,8.86,8.62,8.45,7.97,7.69,10,5.37,6.55
2023,CHE,Switzerland,6.42,6.19,8.5,9.52,9.56,9.14,6.86,3.08,9.33,5.27,8.18
2023,CHL,Chile,5.74,7.17,7.56,8.05,9.01,6.97,8.5,2.31,8.92,4.07,5.99
2023,CHN,China,2.95,8.29,4.14,5.48,9.25,9.91,5.4,0,7.12,5,4.76
2023,CIV,Côte d'Ivoire,7.25,9.68,4.76,4.96,9.5,8.24,5.11,0.77,7.32,5.87,5.33
2023,CMR,Cameroon,7.96,9.34,3.43,4.53,9.25,7.05,5.16,1.54,7.43,5.13,3.46
2023,COD,"Congo, Dem. Rep.",8.45,9.82,3.61,3,8.27,2.04,3.8,0.77,6.41,5.5,2.53
2023,COG,"Congo, Rep.",4.71,8.07,4.35,4.66,3.11,8.28,5,1.54,4.33,1.21,3.34
2023,COL,Colombia,6.44,6.91,5.44,5.07,8.08,5.3,4.88,1.54,9.39,4.17,4.81
2023,COM,Comoros,9.28,,4.43,3.09,9.2,5.93,2.5,4.17,8.59,2.72,3.93
2023,CPV,Cabo Verde,5.02,8.62,6.4,5.3,8.67,8.51,5.06,9.23,8.22,3.82,6.12
2023,CRI,Costa Rica,5.57,8.44,7.22,7.06,8.98,9.79,6.23,6.15,8,5.1,6.05
2023,CYP,Cyprus,4.61,4.85,6.76,7.06,8.81,8.58,8.4,6.92,10,5,7.49
2023,CZE,Czechia,2.53,4.52,6.89,8.12,8.89,5.74,8.27,3.08,9.47,3.9,5.91
2023,DEU,Germany,2.93,2.57,7.68,8.59,9.12,7.62,8.28,3.08,8.02,4.93,7.67
2023,DJI,Djibouti,6.09,,5.63,3.41,9.37,7.93,2.5,3.85,9,2.44,4.58
2023,DNK,Denmark,1.97,5.35,8.56,9.17,8.14,8.68,7.1,6.92,10,2,7.33
2023,DOM,Dominican Republic,6.98,9.29,5.04,5.69,8.76,8.08,6.49,3.85,7.59,5.23,4.86
2023,DZA,Algeria,2.79,7.82,3.98,5.06,5.34,6.27,2.92,0.77,3.56,2.97,4.19
2023,ECU,Ecuador,6.32,7.07,4.35,4.73,8.98,9.11,4.9,1.54,7.33,5,3.35
2023,EGY,"Egypt, Arab Rep.",9.27,7.07,5.65,5.95,6.81,0,5.38,4.62,4.13,4.1,3.86
2023,ESP,Spain,3.71,3.9,6.88,8.15,9.11,8.59,7.05,3.08,9.67,3.47,6.16
2023,EST,Estonia,3.39,5.59,7.92,8.69,7.69,6.34,7.98,5.38,9.68,3.37,8.2
2023,ETH,Ethiopia,9.5,9.27,3.71,3.57,6.22,0,3.43,0,4.93,4.17,3.66
2023,FIN,Finland,2.12,3.77,8.56,9.67,9.33,7.5,7.72,3.08,9.71,1.77,7.54
2023,FJI,Fiji,5.4,9.19,5.56,2.16,8.72,9.14,2.5,0,6.67,6.29,5.67
2023,FRA,France,2.66,1.88,7.13,8.52,9.32,8.05,8,5.38,8.5,4.3,6.66
2023,GAB,Gabon,3.83,9.46,4.26,3.33,4.5,8.55,3.36,1.54,6.54,4.93,4.41
2023,GBR,United Kingdom,3.96,5.69,7.58,8.75,8.85,7.28,7.06,4.62,7.63,6.9,7.07
2023,GEO,Georgia,7.27,6.92,5.48,5.41,8.88,9,5.75,6.92,9.65,4.57,6.98
2023,GHA,Ghana,9.07,9.04,6.19,5.27,5.45,0,4.75,3.85,6.97,6.1,4.53
2023,GIN,Guinea,7.14,,4.47,2.88,8.4,6.88,4.54,0.83,8.79,4.09,3.25
