Indicatori,C1,C2,C3
Government consumption,0.3607267656446028,0.5622784700344087,0.6185653270168399
Transfers and subsidies,0.3577735891847051,0.4833962825236935,0.6238970476814499
Judicial independence,0.7308092587716014,0.7397340847782983,0.7493242212444691
Protection of property rights,0.8084273204679033,0.8159589163049217,0.8225767129060855
Standard deviation of inflation,0.15658328477344108,0.750081509016484,0.776059892956122
Inflation: Most recent year,0.2690803167341903,0.43614230750979355,0.4513978909327681
Non-tariff trade barriers,0.5600986094717598,0.580959631172572,0.5815953859222357
Capital controls,0.21937026308158913,0.2253545434660858,0.3279173169211077
Credit market regulations,0.30226243655036256,0.5003176403794991,0.5050689997122948
Hiring regulations and minimum wage,0.01999377557099056,0.02153713205794893,0.7737556172029382
Business regulations,0.7679460026576286,0.7704320174584993,0.7796371867332432
