Countries,C1,C2,C3
Angola,0.7488253334303121,0.04937557704011027,0.000142487239628476
Albania,0.05416526461463566,0.13251882346264598,0.12235781196122082
United Arab Emirates,0.21923515804890562,0.032386441308950624,0.028069886390930752
Argentina,0.21389272235170087,0.5305178624755377,0.0002772008085961498
Armenia,0.002665815734832494,0.48055428927701405,0.01998088785415491
Australia,0.8711264651128499,0.0012524127212616063,0.05616812129122037
Austria,0.639642575118656,0.03273358902363202,0.19390428797401477
Azerbaijan,0.07405106162289993,0.11091550247258679,0.1499154008772343
Burundi,0.287184730917975,0.06720139436792161,0.22849510327068193
Belgium,0.7472113162937434,0.04791386820606659,0.06837952119944114
Benin,0.1263032838592987,0.43266889615258725,0.06842623837635146
Burkina Faso,0.003021402973186736,0.10742797040321997,0.00025679320528626103
Bangladesh,0.5271392710322911,0.19590383838832368,0.10633931304177457
Bulgaria,0.2930737154115991,0.005328218989854273,0.14498470124529284
Bahrain,0.3819017993701291,0.008984956163940454,0.20008120119570819
"Bahamas, The",0.05248230262438971,0.06369536363860434,0.1262611510078079
Bosnia and Herzegovina,0.047287374703128694,0.06338667241382878,0.09917393479300615
Belarus,0.38495592461445516,0.0075536388857257875,0.3245105538724276
Belize,0.06343491748835628,0.1781257620525565,0.010159581677327244
Bolivia,0.40421454781120697,0.0740147710638647,0.09441283894373433
Brazil,0.00366424638338963,0.04783647424842677,0.12291558960175782
Barbados,0.0227735224651429,0.0001021951793060045,0.08143384642708078
Brunei Darussalam,0.10490785247838677,0.221040056108907,0.23098393925672858
Bhutan,0.006201797718285371,0.033581508297916826,0.15895112961480237
Botswana,0.09972595752947137,0.0001816501732778935,0.007342845211836644
Central African Republic,0.5239679236894189,0.17289990418314916,0.18956390049851343
Canada,0.8695810295879918,0.002691731359293924,0.050555517380251436
Switzerland,0.7235531845786548,0.022952270821564293,0.01596739600223888
Chile,0.5800990825939327,0.004771143479434129,0.005565271238638214
China,0.022367196250269384,0.02355824636667104,0.040452197032395165
Cote d'Ivoire,0.15337987776447853,0.263240417509045,0.12242311554982638
Cameroon,0.5497565937157154,0.21504229297870417,0.016484782917025625
"Congo, Dem. Rep.",0.8219290114185006,0.009306012977620957,0.03877666821774969
"Congo, Rep.",0.2938906259413358,0.16571268091263192,0.20244206580919305
Colombia,0.07474599211169632,0.07788712006069433,0.10194820276449917
Comoros,0.4131280522089603,0.2380853269576517,0.07260600936309522
Cabo Verde,0.1382164127179827,0.10338619883297584,0.024916484907328534
Costa Rica,0.48626170906231153,0.11141755166908114,0.13050253211025534
Cyprus,0.850417366253912,0.0030780571365920362,0.0028766624026306553
Czechia,0.6671853268949037,0.051189374331626146,0.0985759830114925
Germany,0.7403616618648413,0.07583240216459,0.021934714684052597
Djibouti,0.11112149198738235,0.24784931113505385,0.23700928981102634
Denmark,0.7578913631543642,0.005270049053190506,0.0960812895013944
