Indicator,F1,F2
Government consumption,-0.6122226157214765,-0.019229115163522163
Transfers and subsidies,-0.5477420693130723,-0.11548394298692707
Judicial independence,0.7753529679118044,0.34013350841930556
Protection of property rights,0.836261407549874,0.3745362588172494
Standard deviation of inflation,-0.09308455201426884,0.9960043371199109
Inflation: Most recent year,0.28396496563501716,0.4129355974045394
Non-tariff trade barriers,0.6700212691054735,0.23863377251607806
Capital controls,0.34790039658448274,0.19776919597662312
Credit market regulations,0.30575486367195637,0.4411643528879793
Hiring regulations and minimum wage,0.1339522694401691,0.004338426066682529
Business regulations,0.790406811473906,0.377108641020747
