Indicator,F1,F2,F3
Government consumption,-0.15300889080931102,-0.9924644442676488,-0.0398878785203634
Transfers and subsidies,-0.36727893348697305,-0.4159651470181195,-0.1150253530169674
Judicial independence,0.700299155180076,0.36369902402376525,0.2957678305058094
Protection of property rights,0.858689146930031,0.3020891285457472,0.2930354646958329
Standard deviation of inflation,0.07244371103058096,-0.09995724835270708,0.8549918287268692
Inflation: Most recent year,0.11142986131564811,0.30720175563382324,0.5086763610167974
Non-tariff trade barriers,0.6441907501936576,0.2698325775071979,0.1875933161943764
Capital controls,0.3606091346113001,0.1020922577373013,0.17554537542109222
Credit market regulations,0.30129166876932506,0.10956907582406841,0.4562792286614866
Hiring regulations and minimum wage,0.195749691091977,-0.030207174947339707,-0.029018710338953736
Business regulations,0.7194827521415169,0.3642290020284901,0.33433484344328873
